No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Beta,ATR,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,from Open,Gap,Recom,Avg Volume,Rel Volume,Price,Change,Volume,Earnings
1,A,"Agilent Technologies, Inc.",Healthcare,Medical Laboratories & Research,USA,20.61B,25.36,21.86,2.34,4.29,4.54,9.67,33.41,0.93%,60.20%,2.56,49.40%,9.05%,-8.50%,10.84%,-8.20%,35.70%,8.00%,318.16M,316.75M,0.10%,-5.99%,86.60%,-0.76%,1.66%,2.18,3.50%,6.40%,10.60%,3.60,3.00,0.39,0.39,54.80%,19.30%,6.20%,5.99%,-9.61%,-0.77%,-2.34%,-4.76%,-3.26%,1.42,1.80,3.46%,2.75%,-0.59%,-3.27%,-2.47%,-9.88%,6.90%,-13.04%,7.94%,48.56,0.23%,0.43%,1.60,2.42M,0.78,65.22,0.66%,"1,877,816",Nov 19/a
2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,6.58B,1206.55,8.75,135.57,0.50,1.30,6.05,7.59,-,0.00%,0.03,158.50%,5.54%,-,8.90%,-,-1.60%,25.20%,188.18M,186.06M,0.10%,0.00%,86.50%,-0.45%,3.31%,1.49,0.80%,2.70%,10.60%,1.40,0.90,0.38,0.38,25.10%,10.00%,1.10%,2.31%,-15.81%,-17.63%,-34.33%,-26.77%,-35.05%,-,1.69,4.30%,4.21%,-0.24%,-8.53%,-20.30%,-19.43%,11.18%,-41.01%,11.18%,47.17,3.78%,1.29%,2.00,4.15M,0.66,36.78,5.12%,"2,754,073",Oct 17/a
3,AAAU,Perth Mint Physical Gold ETF,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.13,-,-,-,-,-,-,-,-,-,-,-1.06%,1.16%,-,-,-,3.66%,-,0.09,0.48%,0.46%,1.36%,2.33%,2.51%,-0.64%,4.31%,-0.64%,5.12%,60.73,0.33%,1.07%,-,139.55K,0.04,12.34,1.40%,"5,605",-
4,AABA,Altaba Inc.,Financial,Asset Management,USA,36.39B,2.13,117.84,-,136.78,0.77,-,-,-,-,28.21,-,-,-26.57%,-0.83%,-,-,-,605.51M,605.51M,7.83%,0.00%,84.87%,-,3.28%,1.85,-,-,-,-,-,-,-,-,-,-,1.74%,-9.80%,-16.63%,-14.61%,-14.29%,-13.96%,-,2.15,4.15%,3.18%,3.09%,-3.17%,-12.83%,-14.07%,12.73%,-23.76%,12.73%,52.45,3.32%,1.23%,2.30,10.71M,0.82,62.86,4.59%,"8,837,595",-
5,AAC,"AAC Holdings, Inc.",Healthcare,Specialized Health Services,USA,139.18M,-,6.33,-,0.42,0.86,12.21,-,-,-,-0.76,20.00%,20.33%,-64.60%,20.00%,36.90%,-51.20%,11.30%,25.26M,12.18M,11.10%,-3.28%,66.00%,0.85%,20.58%,11.41,-4.50%,-13.40%,-1.20%,2.60,2.60,2.06,2.10,-,-2.50%,-6.40%,-19.44%,-20.14%,-36.30%,-52.95%,-30.43%,-38.78%,1.27,0.42,10.02%,5.87%,-11.10%,-19.34%,-37.24%,-38.70%,22.60%,-53.55%,22.60%,35.62,8.08%,1.09%,1.70,219.57K,1.06,6.02,9.26%,"232,609",Nov 07/a
6,AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,0.80%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00,-,-,-,-,-,-,-,-,-,-,1.24%,-12.43%,-12.53%,-18.96%,-19.29%,-21.14%,-,1.08,2.23%,2.08%,-2.10%,-6.28%,-15.33%,-12.58%,6.84%,-26.05%,6.84%,43.49,1.35%,0.62%,-,33.95K,0.58,47.33,1.98%,"19,563",-
7,AAL,American Airlines Group Inc.,Services,Major Airlines,USA,16.11B,7.59,6.78,0.75,0.36,-,3.32,4.64,1.14%,13.80%,4.62,16.20%,18.85%,18.90%,10.09%,11.20%,-45.60%,5.40%,459.23M,457.47M,0.30%,1.10%,81.80%,-2.04%,6.67%,3.83,2.60%,-167.00%,15.30%,0.60,0.50,-,-,61.50%,6.30%,3.10%,15.62%,-8.88%,-7.51%,-16.69%,-25.07%,-32.58%,1.23,1.74,5.93%,5.24%,9.82%,-2.65%,-16.68%,-17.13%,20.27%,-38.44%,20.27%,57.18,3.03%,0.63%,1.80,7.97M,1.21,36.37,3.68%,"9,614,106",Oct 25/b
8,AAMC,Altisource Asset Management Corporation,Financial,Asset Management,USA,78.89M,-,-,-,4.78,-,2.69,-,-,-,-5.98,-55.70%,-,-,-,-,39.50%,-15.20%,1.61M,0.86M,6.40%,0.00%,39.00%,-,4.13%,21.48,-16.90%,4.80%,4.10%,-,-,-,-,-,-45.40%,-57.90%,-2.34%,-19.08%,-27.99%,-23.32%,-47.59%,-39.95%,1.37,3.40,10.01%,6.12%,-2.09%,-13.74%,-25.64%,-31.77%,26.28%,-43.17%,26.28%,46.32,0.00%,2.35%,-,1.65K,0.27,50.15,2.35%,447,Nov 06/b
9,AAME,Atlantic American Corporation,Financial,Life Insurance,USA,57.43M,121.74,-,-,0.31,0.56,7.66,33.78,0.71%,38.20%,0.02,67.00%,-,-0.20%,-,5.30%,113.70%,13.30%,20.51M,4.03M,0.10%,0.00%,5.30%,-0.55%,0.06%,0.52,0.30%,1.00%,4.00%,-,-,0.33,0.33,-,1.60%,0.60%,-5.72%,7.69%,7.69%,-11.11%,-15.15%,-17.65%,0.11,0.26,8.73%,9.18%,-3.21%,-1.31%,-8.66%,-15.31%,17.83%,-32.25%,23.18%,47.41,1.50%,-4.64%,-,4.31K,0.79,2.71,-3.21%,"3,418",Nov 13/a
10,AAN,"Aaron's, Inc.",Services,Rental & Leasing Services,USA,3.24B,21.58,12.10,1.80,0.90,1.84,92.67,12.16,0.25%,2.70%,2.18,13.10%,15.72%,-0.90%,12.00%,8.90%,85.90%,13.60%,68.82M,68.52M,1.20%,-17.51%,-,0.56%,3.02%,3.53,11.60%,17.80%,8.10%,-,-,0.17,0.17,93.60%,6.80%,8.70%,-1.91%,-12.22%,2.93%,16.43%,28.07%,18.27%,0.34,1.94,5.90%,3.94%,-1.62%,-4.95%,5.43%,-13.84%,13.24%,-13.84%,40.71%,47.77,2.46%,-0.08%,1.80,585.57K,1.55,48.25,2.38%,"908,721",Oct 25/b
11,AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductor - Integrated Circuits,USA,406.34M,13.57,8.73,1.04,1.26,1.12,5.33,184.70,-,0.00%,1.45,94.00%,75.63%,116.60%,13.00%,43.20%,-74.80%,-25.20%,20.70M,18.64M,7.00%,-0.31%,73.10%,-1.52%,43.03%,6.17,7.70%,10.50%,18.60%,3.20,1.90,0.17,0.18,40.80%,12.30%,11.00%,-4.48%,-15.97%,-48.53%,-38.92%,-51.82%,-48.10%,2.39,1.57,5.57%,6.66%,-8.66%,-31.43%,-40.34%,-54.18%,5.61%,-59.96%,5.61%,32.48,7.87%,-4.89%,2.90,1.30M,1.31,20.14,2.60%,"1,705,323",Nov 07/a
